Date,RealPrice,HousingStarts,MedianHouseholdIncome,MortgageRate,Population,UnemploymentRate
1/1/1984,76591.58,1897,22420.0,13.368,235456,8.0
2/1/1984,76218.32,2260,22420.0,13.232,235601,7.8
3/1/1984,75996.11,1663,22420.0,13.386,235757,7.8
4/1/1984,78121.97,1851,22420.0,13.652,235916,7.7
5/1/1984,77971.01,1774,22420.0,13.942,236077,7.4
6/1/1984,77820.64,1843,22420.0,14.416,236254,7.2
7/1/1984,77809.8,1732,22420.0,14.668,236449,7.5
8/1/1984,77586.21,1586,22420.0,14.47,236655,7.5
9/1/1984,77363.9,1698,22420.0,14.35,236868,7.3
10/1/1984,76022.84,1590,22420.0,14.13,237068,7.4
11/1/1984,75878.44,1689,22420.0,13.638,237238,7.2
12/1/1984,75734.6,1612,22420.0,13.18,237392,7.3
1/1/1985,78334.91,1711,23620.0,13.075,237535,7.3
2/1/1985,77892.76,1632,23620.0,12.92,237667,7.2
3/1/1985,77528.09,1800,23620.0,13.17,237816,7.2
4/1/1985,78785.05,1821,23620.0,13.195,237987,7.3
5/1/1985,78638.06,1680,23620.0,12.914,238172,7.2
6/1/1985,78418.6,1676,23620.0,12.215,238368,7.4
7/1/1985,77251.62,1684,23620.0,12.032,238573,7.4
8/1/1985,77108.43,1743,23620.0,12.186,238789,7.1
9/1/1985,76965.77,1676,23620.0,12.192,239006,7.1
10/1/1985,80000.0,1834,23620.0,12.135,239210,7.1
11/1/1985,79633.03,1698,23620.0,11.784,239392,7.0
12/1/1985,79269.41,1942,23620.0,11.26,239558,7.0
1/1/1986,80072.79,1972,24900.0,10.886,239713,6.7
2/1/1986,80218.78,1848,24900.0,10.71,239858,7.2
3/1/1986,80659.95,1876,24900.0,10.08,240011,7.2
4/1/1986,84728.61,1933,24900.0,9.938,240183,7.1
5/1/1986,84495.41,1854,24900.0,10.144,240365,7.2
6/1/1986,84186.47,1847,24900.0,10.682,240555,7.2
7/1/1986,84931.51,1782,24900.0,10.508,240753,7.0
8/1/1986,84854.01,1807,24900.0,10.2,240961,6.9
9/1/1986,84545.45,1687,24900.0,10.008,241171,7.0
10/1/1986,86206.9,1681,24900.0,9.974,241371,7.0
11/1/1986,86050.72,1623,24900.0,9.695,241544,6.9
12/1/1986,85740.07,1833,24900.0,9.31,241702,6.6
1/1/1987,87881.51,1774,26060.0,9.204,241857,6.6
2/1/1987,87567.08,1784,26060.0,9.082,242005,6.6
3/1/1987,87254.9,1726,26060.0,9.035,242166,6.6
4/1/1987,91748.0,1614,26060.0,9.832,242338,6.3
5/1/1987,91504.42,1628,26060.0,10.596,242516,6.3
6/1/1987,91101.32,1594,26060.0,10.538,242706,6.2
7/1/1987,93145.87,1575,26060.0,10.278,242908,6.1
8/1/1987,92738.41,1605,26060.0,10.33,243118,6.0
9/1/1987,92415.0,1695,26060.0,10.888,243335,5.9
10/1/1987,96956.52,1515,26060.0,11.26,243543,6.0
11/1/1987,96620.45,1656,26060.0,10.65,243724,5.8
12/1/1987,96453.29,1400,26060.0,10.64,243895,5.7
1/1/1988,94827.59,1271,27230.0,10.382,244056,5.7
2/1/1988,94664.37,1473,27230.0,9.892,244205,5.7
3/1/1988,94420.6,1532,27230.0,9.93,244362,5.7
4/1/1988,93856.66,1573,27230.0,10.202,244528,5.4
5/1/1988,93617.02,1421,27230.0,10.455,244708,5.6
6/1/1988,93220.34,1478,27230.0,10.46,244914,5.4
7/1/1988,97046.41,1467,27230.0,10.432,245131,5.4
8/1/1988,96638.66,1493,27230.0,10.598,245352,5.6
9/1/1988,96234.31,1492,27230.0,10.48,245579,5.4
10/1/1988,94995.83,1522,27230.0,10.302,245789,5.4
11/1/1988,94679.97,1569,27230.0,10.265,245970,5.3
12/1/1988,94366.2,1563,27230.0,10.612,246140,5.3
1/1/1989,97359.74,1621,28910.0,10.73,246301,5.4
2/1/1989,97039.47,1425,28910.0,10.645,246454,5.2
3/1/1989,96563.01,1422,28910.0,11.032,246626,5.0
4/1/1989,96588.14,1339,28910.0,11.05,246814,5.2
5/1/1989,96119.64,1331,28910.0,10.772,247010,5.2
6/1/1989,95809.83,1397,28910.0,10.196,247228,5.3
7/1/1989,96385.54,1427,28910.0,9.882,247458,5.2
8/1/1989,96385.54,1332,28910.0,9.985,247695,5.2
9/1/1989,96153.85,1279,28910.0,10.126,247942,5.3
10/1/1989,99521.53,1410,28910.0,9.948,248174,5.3
11/1/1989,99126.29,1351,28910.0,9.768,248380,5.4
12/1/1989,98812.35,1251,28910.0,9.744,248569,5.4
1/1/1990,97176.47,1551,29940.0,9.895,248743,5.4
2/1/1990,96796.88,1437,29940.0,10.198,248920,5.3
3/1/1990,96345.26,1289,29940.0,10.268,249146,5.2
4/1/1990,98370.83,1248,29940.0,10.37,249436,5.4
5/1/1990,98218.44,1212,29940.0,10.478,249707,5.4
6/1/1990,97613.55,1177,29940.0,10.164,249990,5.2
7/1/1990,89655.17,1171,29940.0,10.035,250285,5.5
8/1/1990,88905.78,1115,29940.0,10.1,250595,5.7
9/1/1990,88301.89,1110,29940.0,10.175,250904,5.9
10/1/1990,91079.46,1014,29940.0,10.178,251201,5.9
