Date,CPI,HomePrice,HousingStarts,MedianHouseholdIncome,MortgageRate,Population,UnemploymentRate
1/1/1984,102.1,78200.0,1897,22420.0,13.368,235456,8.0
2/1/1984,102.6,78200.0,2260,22420.0,13.232,235601,7.8
3/1/1984,102.9,78200.0,1663,22420.0,13.386,235757,7.8
4/1/1984,103.3,80700.0,1851,22420.0,13.652,235916,7.7
5/1/1984,103.5,80700.0,1774,22420.0,13.942,236077,7.4
6/1/1984,103.7,80700.0,1843,22420.0,14.416,236254,7.2
7/1/1984,104.1,81000.0,1732,22420.0,14.668,236449,7.5
8/1/1984,104.4,81000.0,1586,22420.0,14.47,236655,7.5
9/1/1984,104.7,81000.0,1698,22420.0,14.35,236868,7.3
10/1/1984,105.1,79900.0,1590,22420.0,14.13,237068,7.4
11/1/1984,105.3,79900.0,1689,22420.0,13.638,237238,7.2
12/1/1984,105.5,79900.0,1612,22420.0,13.18,237392,7.3
1/1/1985,105.7,82800.0,1711,23620.0,13.075,237535,7.3
2/1/1985,106.3,82800.0,1632,23620.0,12.92,237667,7.2
3/1/1985,106.8,82800.0,1800,23620.0,13.17,237816,7.2
4/1/1985,107.0,84300.0,1821,23620.0,13.195,237987,7.3
5/1/1985,107.2,84300.0,1680,23620.0,12.914,238172,7.2
6/1/1985,107.5,84300.0,1676,23620.0,12.215,238368,7.4
7/1/1985,107.7,83200.0,1684,23620.0,12.032,238573,7.4
8/1/1985,107.9,83200.0,1743,23620.0,12.186,238789,7.1
9/1/1985,108.1,83200.0,1676,23620.0,12.192,239006,7.1
10/1/1985,108.5,86800.0,1834,23620.0,12.135,239210,7.1
11/1/1985,109.0,86800.0,1698,23620.0,11.784,239392,7.0
12/1/1985,109.5,86800.0,1942,23620.0,11.26,239558,7.0
1/1/1986,109.9,88000.0,1972,24900.0,10.886,239713,6.7
2/1/1986,109.7,88000.0,1848,24900.0,10.71,239858,7.2
3/1/1986,109.1,88000.0,1876,24900.0,10.08,240011,7.2
4/1/1986,108.7,92100.0,1933,24900.0,9.938,240183,7.1
5/1/1986,109.0,92100.0,1854,24900.0,10.144,240365,7.2
