Date,HomePrice
1/1/1984,78200
2/1/1984,78200
3/1/1984,78200
4/1/1984,80700
5/1/1984,80700
6/1/1984,80700
7/1/1984,81000
8/1/1984,81000
9/1/1984,81000
10/1/1984,79900
11/1/1984,79900
12/1/1984,79900
1/1/1985,82800
2/1/1985,82800
3/1/1985,82800
4/1/1985,84300
5/1/1985,84300
6/1/1985,84300
7/1/1985,83200
8/1/1985,83200
9/1/1985,83200
10/1/1985,86800
11/1/1985,86800
12/1/1985,86800
1/1/1986,88000
2/1/1986,88000
3/1/1986,88000
4/1/1986,92100
5/1/1986,92100
6/1/1986,92100
7/1/1986,93000
8/1/1986,93000
9/1/1986,93000
10/1/1986,95000
11/1/1986,95000
12/1/1986,95000
1/1/1987,97900
2/1/1987,97900
3/1/1987,97900
4/1/1987,103400
5/1/1987,103400
6/1/1987,103400
7/1/1987,106000
8/1/1987,106000
9/1/1987,106000
10/1/1987,111500
11/1/1987,111500
12/1/1987,111500
1/1/1988,110000
2/1/1988,110000
3/1/1988,110000
4/1/1988,110000
5/1/1988,110000
6/1/1988,110000
7/1/1988,115000
8/1/1988,115000
9/1/1988,115000
10/1/1988,113900
11/1/1988,113900
12/1/1988,113900
1/1/1989,118000
2/1/1989,118000
3/1/1989,118000
4/1/1989,118900
5/1/1989,118900
6/1/1989,118900
7/1/1989,120000
8/1/1989,120000
9/1/1989,120000
10/1/1989,124800
11/1/1989,124800
12/1/1989,124800
1/1/1990,123900
2/1/1990,123900
3/1/1990,123900
4/1/1990,126800
5/1/1990,126800
6/1/1990,126800
7/1/1990,117000
8/1/1990,117000
9/1/1990,117000
10/1/1990,121500
11/1/1990,121500
12/1/1990,121500
1/1/1991,120000
2/1/1991,120000
3/1/1991,120000
4/1/1991,119900
5/1/1991,119900
6/1/1991,119900
7/1/1991,120000
8/1/1991,120000
9/1/1991,120000
10/1/1991,120000
11/1/1991,120000
12/1/1991,120000
1/1/1992,119500
2/1/1992,119500
3/1/1992,119500
4/1/1992,120000
5/1/1992,120000
6/1/1992,120000
7/1/1992,120000
8/1/1992,120000
9/1/1992,120000
10/1/1992,126000
11/1/1992,126000
12/1/1992,126000
1/1/1993,125000
2/1/1993,125000
3/1/1993,125000
4/1/1993,127000
5/1/1993,127000
6/1/1993,127000
7/1/1993,127000
8/1/1993,127000
9/1/1993,127000
10/1/1993,127000
11/1/1993,127000
12/1/1993,127000
1/1/1994,130000
2/1/1994,130000
3/1/1994,130000
4/1/1994,130000
5/1/1994,130000
6/1/1994,130000
7/1/1994,129700
8/1/1994,129700
9/1/1994,129700
10/1/1994,132000
11/1/1994,132000
12/1/1994,132000
1/1/1995,130000
2/1/1995,130000
3/1/1995,130000
4/1/1995,133900
5/1/1995,133900
6/1/1995,133900
7/1/1995,132000
8/1/1995,132000
9/1/1995,132000
10/1/1995,138000
11/1/1995,138000
12/1/1995,138000
1/1/1996,137000
2/1/1996,137000
3/1/1996,137000
4/1/1996,139900
5/1/1996,139900
6/1/1996,139900
7/1/1996,140000
8/1/1996,140000
9/1/1996,140000
10/1/1996,144100
11/1/1996,144100
12/1/1996,144100
1/1/1997,145000
2/1/1997,145000
3/1/1997,145000
4/1/1997,145800
5/1/1997,145800
6/1/1997,145800
7/1/1997,145000
8/1/1997,145000
9/1/1997,145000
10/1/1997,144200
11/1/1997,144200
12/1/1997,144200
1/1/1998,152200
2/1/1998,152200
3/1/1998,152200
4/1/1998,149500
5/1/1998,149500
6/1/1998,149500
7/1/1998,153000
8/1/1998,153000
9/1/1998,153000
10/1/1998,153000
11/1/1998,153000
12/1/1998,153000
1/1/1999,157400
2/1/1999,157400
3/1/1999,157400
4/1/1999,158700
5/1/1999,158700
6/1/1999,158700
7/1/1999,159100
8/1/1999,159100
9/1/1999,159100
10/1/1999,165300
11/1/1999,165300
12/1/1999,165300
1/1/2000,165300
2/1/2000,165300
3/1/2000,165300
4/1/2000,163200
5/1/2000,163200
6/1/2000,163200
7/1/2000,168800
8/1/2000,168800
9/1/2000,168800
10/1/2000,172900
11/1/2000,172900
12/1/2000,172900
1/1/2001,169800
2/1/2001,169800
3/1/2001,169800
4/1/2001,179000
5/1/2001,179000
6/1/2001,179000
7/1/2001,172500
8/1/2001,172500
9/1/2001,172500
10/1/2001,171100
11/1/2001,171100
12/1/2001,171100
1/1/2002,188700
2/1/2002,188700
3/1/2002,188700
4/1/2002,187200
5/1/2002,187200
6/1/2002,187200
7/1/2002,178100
8/1/2002,178100
9/1/2002,178100
10/1/2002,190100
11/1/2002,190100
12/1/2002,190100
1/1/2003,186000
2/1/2003,186000
3/1/2003,186000
4/1/2003,191800
5/1/2003,191800
6/1/2003,191800
7/1/2003,191900
8/1/2003,191900
9/1/2003,191900
10/1/2003,198800
11/1/2003,198800
12/1/2003,198800
1/1/2004,212700
2/1/2004,212700
3/1/2004,212700
4/1/2004,217600
5/1/2004,217600
6/1/2004,217600
7/1/2004,213500
8/1/2004,213500
9/1/2004,213500
10/1/2004,228800
11/1/2004,228800
12/1/2004,228800
1/1/2005,232500
2/1/2005,232500
3/1/2005,232500
4/1/2005,233700
5/1/2005,233700
6/1/2005,233700
7/1/2005,236400
8/1/2005,236400
9/1/2005,236400
10/1/2005,243600
11/1/2005,243600
12/1/2005,243600
1/1/2006,247700
2/1/2006,247700
3/1/2006,247700
4/1/2006,246300
5/1/2006,246300
6/1/2006,246300
7/1/2006,235600
8/1/2006,235600
9/1/2006,235600
10/1/2006,245400
11/1/2006,245400
12/1/2006,245400
1/1/2007,257400
2/1/2007,257400
3/1/2007,257400
4/1/2007,242200
5/1/2007,242200
6/1/2007,242200
7/1/2007,241800
8/1/2007,241800
9/1/2007,241800
10/1/2007,238400
11/1/2007,238400
12/1/2007,238400
1/1/2008,233900
2/1/2008,233900
3/1/2008,233900
4/1/2008,235300
5/1/2008,235300
6/1/2008,235300
7/1/2008,226500
8/1/2008,226500
9/1/2008,226500
10/1/2008,222500
11/1/2008,222500
12/1/2008,222500
1/1/2009,208400
2/1/2009,208400
3/1/2009,208400
4/1/2009,220900
5/1/2009,220900
6/1/2009,220900
7/1/2009,214300
8/1/2009,214300
9/1/2009,214300
10/1/2009,219000
11/1/2009,219000
12/1/2009,219000
1/1/2010,222900
2/1/2010,222900
3/1/2010,222900
4/1/2010,219500
5/1/2010,219500
6/1/2010,219500
7/1/2010,224100
8/1/2010,224100
9/1/2010,224100
10/1/2010,224300
11/1/2010,224300
12/1/2010,224300
1/1/2011,226900
2/1/2011,226900
3/1/2011,226900
4/1/2011,228100
5/1/2011,228100
6/1/2011,228100
7/1/2011,223500
8/1/2011,223500
9/1/2011,223500
10/1/2011,221100
11/1/2011,221100
12/1/2011,221100
1/1/2012,238400
2/1/2012,238400
3/1/2012,238400
4/1/2012,238700
5/1/2012,238700
6/1/2012,238700
7/1/2012,248800
8/1/2012,248800
9/1/2012,248800
10/1/2012,251700
11/1/2012,251700
12/1/2012,251700
1/1/2013,258400
2/1/2013,258400
3/1/2013,258400
4/1/2013,268100
5/1/2013,268100
6/1/2013,268100
7/1/2013,264800
8/1/2013,264800
9/1/2013,264800
10/1/2013,273600
11/1/2013,273600
12/1/2013,273600
1/1/2014,275200
2/1/2014,275200
3/1/2014,275200
4/1/2014,288000
5/1/2014,288000
6/1/2014,288000
7/1/2014,281000
8/1/2014,281000
9/1/2014,281000
10/1/2014,298900
11/1/2014,298900
12/1/2014,298900
1/1/2015,289200
2/1/2015,289200
3/1/2015,289200
4/1/2015,289100
5/1/2015,289100
6/1/2015,289100
7/1/2015,295800
8/1/2015,295800
9/1/2015,295800
10/1/2015,302500
11/1/2015,302500
12/1/2015,302500
1/1/2016,299800
2/1/2016,299800
3/1/2016,299800
4/1/2016,306000
5/1/2016,306000
6/1/2016,306000
7/1/2016,303800
8/1/2016,303800
9/1/2016,303800
10/1/2016,310900
11/1/2016,310900
12/1/2016,310900
1/1/2017,313100
2/1/2017,313100
3/1/2017,313100
4/1/2017,318200
5/1/2017,318200
6/1/2017,318200
7/1/2017,320500
8/1/2017,320500
9/1/2017,320500
10/1/2017,337900
11/1/2017,337900
12/1/2017,337900
1/1/2018,331800
2/1/2018,331800
3/1/2018,331800
4/1/2018,315600
5/1/2018,315600
6/1/2018,315600
7/1/2018,330900
8/1/2018,330900
9/1/2018,330900
10/1/2018,322800
11/1/2018,322800
12/1/2018,322800
1/1/2019,313000
2/1/2019,313000
3/1/2019,313000
4/1/2019,322500
5/1/2019,322500
6/1/2019,322500
7/1/2019,318400
8/1/2019,318400
9/1/2019,318400
10/1/2019,327100
11/1/2019,327100
12/1/2019,327100
1/1/2020,329000
2/1/2020,329000
3/1/2020,329000
4/1/2020,317100
5/1/2020,317100
6/1/2020,317100
7/1/2020,327900
8/1/2020,327900
9/1/2020,327900
10/1/2020,338600
11/1/2020,338600
12/1/2020,338600
1/1/2021,355000
2/1/2021,355000
3/1/2021,355000
4/1/2021,367800
5/1/2021,367800
6/1/2021,367800
7/1/2021,395200
8/1/2021,395200
9/1/2021,395200
10/1/2021,414000
11/1/2021,414000
12/1/2021,414000
1/1/2022,413500
2/1/2022,413500
3/1/2022,413500
4/1/2022,437700
5/1/2022,437700
6/1/2022,437700
7/1/2022,438000
8/1/2022,438000
9/1/2022,438000
10/1/2022,442600
11/1/2022,442600
12/1/2022,442600
1/1/2023,429000
2/1/2023,429000
3/1/2023,429000
4/1/2023,418500
5/1/2023,418500
6/1/2023,418500
7/1/2023,435400
8/1/2023,435400
9/1/2023,435400
10/1/2023,423200
11/1/2023,423200
12/1/2023,423200
1/1/2024,426800
2/1/2024,426800
3/1/2024,426800
4/1/2024,414500
5/1/2024,414500
6/1/2024,414500
7/1/2024,415300
8/1/2024,415300
9/1/2024,415300
10/1/2024,419300
11/1/2024,419300
12/1/2024,419300
1/1/2025,423100
2/1/2025,423100
3/1/2025,423100
4/1/2025,416100
5/1/2025,416100
6/1/2025,416100
7/1/2025,410100
8/1/2025,410100
9/1/2025,410100
10/1/2025,405300
