Date,MedianHouseholdIncome
1/1/1984,22420
2/1/1984,22420
3/1/1984,22420
4/1/1984,22420
5/1/1984,22420
6/1/1984,22420
7/1/1984,22420
8/1/1984,22420
9/1/1984,22420
10/1/1984,22420
11/1/1984,22420
12/1/1984,22420
1/1/1985,23620
2/1/1985,23620
3/1/1985,23620
4/1/1985,23620
5/1/1985,23620
6/1/1985,23620
7/1/1985,23620
8/1/1985,23620
9/1/1985,23620
10/1/1985,23620
11/1/1985,23620
12/1/1985,23620
1/1/1986,24900
2/1/1986,24900
3/1/1986,24900
4/1/1986,24900
5/1/1986,24900
6/1/1986,24900
7/1/1986,24900
8/1/1986,24900
9/1/1986,24900
10/1/1986,24900
11/1/1986,24900
12/1/1986,24900
1/1/1987,26060
2/1/1987,26060
3/1/1987,26060
4/1/1987,26060
5/1/1987,26060
6/1/1987,26060
7/1/1987,26060
8/1/1987,26060
9/1/1987,26060
10/1/1987,26060
11/1/1987,26060
12/1/1987,26060
1/1/1988,27230
2/1/1988,27230
3/1/1988,27230
4/1/1988,27230
5/1/1988,27230
6/1/1988,27230
7/1/1988,27230
8/1/1988,27230
9/1/1988,27230
10/1/1988,27230
11/1/1988,27230
12/1/1988,27230
1/1/1989,28910
2/1/1989,28910
3/1/1989,28910
4/1/1989,28910
5/1/1989,28910
6/1/1989,28910
7/1/1989,28910
8/1/1989,28910
9/1/1989,28910
10/1/1989,28910
11/1/1989,28910
12/1/1989,28910
1/1/1990,29940
2/1/1990,29940
3/1/1990,29940
4/1/1990,29940
5/1/1990,29940
6/1/1990,29940
7/1/1990,29940
8/1/1990,29940
9/1/1990,29940
10/1/1990,29940
11/1/1990,29940
12/1/1990,29940
1/1/1991,30130
2/1/1991,30130
3/1/1991,30130
4/1/1991,30130
5/1/1991,30130
6/1/1991,30130
7/1/1991,30130
8/1/1991,30130
9/1/1991,30130
10/1/1991,30130
11/1/1991,30130
12/1/1991,30130
1/1/1992,30640
2/1/1992,30640
3/1/1992,30640
4/1/1992,30640
5/1/1992,30640
6/1/1992,30640
7/1/1992,30640
8/1/1992,30640
9/1/1992,30640
10/1/1992,30640
11/1/1992,30640
12/1/1992,30640
1/1/1993,31240
2/1/1993,31240
3/1/1993,31240
4/1/1993,31240
5/1/1993,31240
6/1/1993,31240
7/1/1993,31240
8/1/1993,31240
9/1/1993,31240
10/1/1993,31240
11/1/1993,31240
12/1/1993,31240
1/1/1994,32260
2/1/1994,32260
3/1/1994,32260
4/1/1994,32260
5/1/1994,32260
6/1/1994,32260
7/1/1994,32260
8/1/1994,32260
9/1/1994,32260
10/1/1994,32260
11/1/1994,32260
12/1/1994,32260
1/1/1995,34080
2/1/1995,34080
3/1/1995,34080
4/1/1995,34080
5/1/1995,34080
6/1/1995,34080
7/1/1995,34080
8/1/1995,34080
9/1/1995,34080
10/1/1995,34080
11/1/1995,34080
12/1/1995,34080
1/1/1996,35490
2/1/1996,35490
3/1/1996,35490
4/1/1996,35490
5/1/1996,35490
6/1/1996,35490
7/1/1996,35490
8/1/1996,35490
9/1/1996,35490
10/1/1996,35490
11/1/1996,35490
12/1/1996,35490
1/1/1997,37010
2/1/1997,37010
3/1/1997,37010
4/1/1997,37010
5/1/1997,37010
6/1/1997,37010
7/1/1997,37010
8/1/1997,37010
9/1/1997,37010
10/1/1997,37010
11/1/1997,37010
12/1/1997,37010
1/1/1998,38890
2/1/1998,38890
3/1/1998,38890
4/1/1998,38890
5/1/1998,38890
6/1/1998,38890
7/1/1998,38890
8/1/1998,38890
9/1/1998,38890
10/1/1998,38890
11/1/1998,38890
12/1/1998,38890
1/1/1999,40700
2/1/1999,40700
3/1/1999,40700
4/1/1999,40700
5/1/1999,40700
6/1/1999,40700
7/1/1999,40700
8/1/1999,40700
9/1/1999,40700
10/1/1999,40700
11/1/1999,40700
12/1/1999,40700
1/1/2000,41990
2/1/2000,41990
3/1/2000,41990
4/1/2000,41990
5/1/2000,41990
6/1/2000,41990
7/1/2000,41990
8/1/2000,41990
9/1/2000,41990
10/1/2000,41990
11/1/2000,41990
12/1/2000,41990
1/1/2001,42230
2/1/2001,42230
3/1/2001,42230
4/1/2001,42230
5/1/2001,42230
6/1/2001,42230
7/1/2001,42230
8/1/2001,42230
9/1/2001,42230
10/1/2001,42230
11/1/2001,42230
12/1/2001,42230
1/1/2002,42410
2/1/2002,42410
3/1/2002,42410
4/1/2002,42410
5/1/2002,42410
6/1/2002,42410
7/1/2002,42410
8/1/2002,42410
9/1/2002,42410
10/1/2002,42410
11/1/2002,42410
12/1/2002,42410
1/1/2003,43320
2/1/2003,43320
3/1/2003,43320
4/1/2003,43320
5/1/2003,43320
6/1/2003,43320
7/1/2003,43320
8/1/2003,43320
9/1/2003,43320
10/1/2003,43320
11/1/2003,43320
12/1/2003,43320
1/1/2004,44330
2/1/2004,44330
3/1/2004,44330
4/1/2004,44330
5/1/2004,44330
6/1/2004,44330
7/1/2004,44330
8/1/2004,44330
9/1/2004,44330
10/1/2004,44330
11/1/2004,44330
12/1/2004,44330
1/1/2005,46330
2/1/2005,46330
3/1/2005,46330
4/1/2005,46330
5/1/2005,46330
6/1/2005,46330
7/1/2005,46330
8/1/2005,46330
9/1/2005,46330
10/1/2005,46330
11/1/2005,46330
12/1/2005,46330
1/1/2006,48200
2/1/2006,48200
3/1/2006,48200
4/1/2006,48200
5/1/2006,48200
6/1/2006,48200
7/1/2006,48200
8/1/2006,48200
9/1/2006,48200
10/1/2006,48200
11/1/2006,48200
12/1/2006,48200
1/1/2007,50230
2/1/2007,50230
3/1/2007,50230
4/1/2007,50230
5/1/2007,50230
6/1/2007,50230
7/1/2007,50230
8/1/2007,50230
9/1/2007,50230
10/1/2007,50230
11/1/2007,50230
12/1/2007,50230
1/1/2008,50300
2/1/2008,50300
3/1/2008,50300
4/1/2008,50300
5/1/2008,50300
6/1/2008,50300
7/1/2008,50300
8/1/2008,50300
9/1/2008,50300
10/1/2008,50300
11/1/2008,50300
12/1/2008,50300
1/1/2009,49780
2/1/2009,49780
3/1/2009,49780
4/1/2009,49780
5/1/2009,49780
6/1/2009,49780
7/1/2009,49780
8/1/2009,49780
9/1/2009,49780
10/1/2009,49780
11/1/2009,49780
12/1/2009,49780
1/1/2010,49280
2/1/2010,49280
3/1/2010,49280
4/1/2010,49280
5/1/2010,49280
6/1/2010,49280
7/1/2010,49280
8/1/2010,49280
9/1/2010,49280
10/1/2010,49280
11/1/2010,49280
12/1/2010,49280
1/1/2011,50050
2/1/2011,50050
3/1/2011,50050
4/1/2011,50050
5/1/2011,50050
6/1/2011,50050
7/1/2011,50050
8/1/2011,50050
9/1/2011,50050
10/1/2011,50050
11/1/2011,50050
12/1/2011,50050
1/1/2012,51020
2/1/2012,51020
3/1/2012,51020
4/1/2012,51020
5/1/2012,51020
6/1/2012,51020
7/1/2012,51020
8/1/2012,51020
9/1/2012,51020
10/1/2012,51020
11/1/2012,51020
12/1/2012,51020
1/1/2013,53590
2/1/2013,53590
3/1/2013,53590
4/1/2013,53590
5/1/2013,53590
6/1/2013,53590
7/1/2013,53590
8/1/2013,53590
9/1/2013,53590
10/1/2013,53590
11/1/2013,53590
12/1/2013,53590
1/1/2014,53660
2/1/2014,53660
3/1/2014,53660
4/1/2014,53660
5/1/2014,53660
6/1/2014,53660
7/1/2014,53660
8/1/2014,53660
9/1/2014,53660
10/1/2014,53660
11/1/2014,53660
12/1/2014,53660
1/1/2015,56520
2/1/2015,56520
3/1/2015,56520
4/1/2015,56520
5/1/2015,56520
6/1/2015,56520
7/1/2015,56520
8/1/2015,56520
9/1/2015,56520
10/1/2015,56520
11/1/2015,56520
12/1/2015,56520
1/1/2016,59040
2/1/2016,59040
3/1/2016,59040
4/1/2016,59040
5/1/2016,59040
6/1/2016,59040
7/1/2016,59040
8/1/2016,59040
9/1/2016,59040
10/1/2016,59040
11/1/2016,59040
12/1/2016,59040
