Date,MortgageRate
1/1/1984,13.368
2/1/1984,13.232
3/1/1984,13.386
4/1/1984,13.652
5/1/1984,13.942
6/1/1984,14.416
7/1/1984,14.668
8/1/1984,14.47
9/1/1984,14.35
10/1/1984,14.13
11/1/1984,13.638
12/1/1984,13.18
1/1/1985,13.075
2/1/1985,12.92
3/1/1985,13.17
4/1/1985,13.195
5/1/1985,12.914
6/1/1985,12.215
7/1/1985,12.032
8/1/1985,12.186
9/1/1985,12.192
10/1/1985,12.135
11/1/1985,11.784
12/1/1985,11.26
1/1/1986,10.886
2/1/1986,10.71
3/1/1986,10.08
4/1/1986,9.938
5/1/1986,10.144
6/1/1986,10.682
7/1/1986,10.508
8/1/1986,10.2
9/1/1986,10.008
10/1/1986,9.974
11/1/1986,9.695
12/1/1986,9.31
1/1/1987,9.204
2/1/1987,9.082
3/1/1987,9.035
4/1/1987,9.832
5/1/1987,10.596
6/1/1987,10.538
7/1/1987,10.278
8/1/1987,10.33
9/1/1987,10.888
10/1/1987,11.26
11/1/1987,10.65
12/1/1987,10.64
1/1/1988,10.382
2/1/1988,9.892
3/1/1988,9.93
4/1/1988,10.202
5/1/1988,10.455
6/1/1988,10.46
7/1/1988,10.432
8/1/1988,10.598
9/1/1988,10.48
10/1/1988,10.302
11/1/1988,10.265
12/1/1988,10.612
1/1/1989,10.73
2/1/1989,10.645
3/1/1989,11.032
4/1/1989,11.05
5/1/1989,10.772
6/1/1989,10.196
7/1/1989,9.882
8/1/1989,9.985
9/1/1989,10.126
10/1/1989,9.948
11/1/1989,9.768
12/1/1989,9.744
1/1/1990,9.895
2/1/1990,10.198
3/1/1990,10.268
4/1/1990,10.37
5/1/1990,10.478
6/1/1990,10.164
7/1/1990,10.035
8/1/1990,10.1
9/1/1990,10.175
10/1/1990,10.178
11/1/1990,10.014
12/1/1990,9.672
1/1/1991,9.638
2/1/1991,9.365
3/1/1991,9.5
4/1/1991,9.492
5/1/1991,9.472
6/1/1991,9.615
7/1/1991,9.575
8/1/1991,9.244
9/1/1991,9.008
10/1/1991,8.855
11/1/1991,8.712
12/1/1991,8.497
1/1/1992,8.432
2/1/1992,8.762
3/1/1992,8.935
4/1/1992,8.852
5/1/1992,8.672
6/1/1992,8.51
7/1/1992,8.128
8/1/1992,7.975
9/1/1992,7.922
10/1/1992,8.088
11/1/1992,8.305
12/1/1992,8.206
1/1/1993,7.992
2/1/1993,7.682
3/1/1993,7.495
4/1/1993,7.472
5/1/1993,7.465
6/1/1993,7.418
7/1/1993,7.206
8/1/1993,7.112
9/1/1993,6.915
10/1/1993,6.834
11/1/1993,7.155
12/1/1993,7.172
1/1/1994,7.06
2/1/1994,7.152
3/1/1994,7.675
4/1/1994,8.316
5/1/1994,8.598
6/1/1994,8.398
7/1/1994,8.614
8/1/1994,8.512
9/1/1994,8.64
10/1/1994,8.925
11/1/1994,9.17
12/1/1994,9.198
1/1/1995,9.148
2/1/1995,8.828
3/1/1995,8.462
4/1/1995,8.32
5/1/1995,7.955
6/1/1995,7.566
7/1/1995,7.608
8/1/1995,7.86
9/1/1995,7.636
10/1/1995,7.475
11/1/1995,7.377
12/1/1995,7.2
1/1/1996,7.03
2/1/1996,7.075
3/1/1996,7.624
4/1/1996,7.925
5/1/1996,8.07
6/1/1996,8.32
7/1/1996,8.245
8/1/1996,8.002
9/1/1996,8.23
10/1/1996,7.915
11/1/1996,7.618
12/1/1996,7.598
1/1/1997,7.824
2/1/1997,7.65
3/1/1997,7.898
4/1/1997,8.142
5/1/1997,7.944
6/1/1997,7.69
7/1/1997,7.498
8/1/1997,7.48
9/1/1997,7.43
10/1/1997,7.294
11/1/1997,7.205
12/1/1997,7.095
1/1/1998,6.994
2/1/1998,7.042
3/1/1998,7.128
4/1/1998,7.14
5/1/1998,7.144
6/1/1998,6.998
