Date,Population
1/1/1984,235456
2/1/1984,235601
3/1/1984,235757
4/1/1984,235916
5/1/1984,236077
6/1/1984,236254
7/1/1984,236449
8/1/1984,236655
9/1/1984,236868
10/1/1984,237068
11/1/1984,237238
12/1/1984,237392
1/1/1985,237535
2/1/1985,237667
3/1/1985,237816
4/1/1985,237987
5/1/1985,238172
6/1/1985,238368
7/1/1985,238573
8/1/1985,238789
9/1/1985,239006
10/1/1985,239210
11/1/1985,239392
12/1/1985,239558
1/1/1986,239713
2/1/1986,239858
3/1/1986,240011
4/1/1986,240183
5/1/1986,240365
6/1/1986,240555
7/1/1986,240753
8/1/1986,240961
9/1/1986,241171
10/1/1986,241371
11/1/1986,241544
12/1/1986,241702
1/1/1987,241857
2/1/1987,242005
3/1/1987,242166
4/1/1987,242338
5/1/1987,242516
6/1/1987,242706
7/1/1987,242908
8/1/1987,243118
9/1/1987,243335
10/1/1987,243543
11/1/1987,243724
12/1/1987,243895
1/1/1988,244056
2/1/1988,244205
3/1/1988,244362
4/1/1988,244528
5/1/1988,244708
6/1/1988,244914
7/1/1988,245131
8/1/1988,245352
9/1/1988,245579
10/1/1988,245789
11/1/1988,245970
12/1/1988,246140
1/1/1989,246301
2/1/1989,246454
3/1/1989,246626
4/1/1989,246814
5/1/1989,247010
6/1/1989,247228
7/1/1989,247458
8/1/1989,247695
9/1/1989,247942
10/1/1989,248174
11/1/1989,248380
12/1/1989,248569
1/1/1990,248743
2/1/1990,248920
3/1/1990,249146
4/1/1990,249436
5/1/1990,249707
6/1/1990,249990
7/1/1990,250285
8/1/1990,250595
9/1/1990,250904
10/1/1990,251201
11/1/1990,251486
12/1/1990,251758
1/1/1991,252012
2/1/1991,252253
3/1/1991,252507
4/1/1991,252778
5/1/1991,253060
6/1/1991,253350
7/1/1991,253650
8/1/1991,253966
9/1/1991,254280
10/1/1991,254576
11/1/1991,254841
12/1/1991,255089
1/1/1992,255331
2/1/1992,255576
3/1/1992,255848
4/1/1992,256139
5/1/1992,256437
6/1/1992,256742
7/1/1992,257063
8/1/1992,257390
9/1/1992,257704
10/1/1992,258004
11/1/1992,258280
12/1/1992,258546
1/1/1993,258799
2/1/1993,259036
3/1/1993,259283
4/1/1993,259547
5/1/1993,259822
6/1/1993,260109
7/1/1993,260411
8/1/1993,260717
9/1/1993,261015
10/1/1993,261294
11/1/1993,261550
12/1/1993,261796
1/1/1994,262021
2/1/1994,262237
3/1/1994,262491
4/1/1994,262754
5/1/1994,263014
6/1/1994,263294
7/1/1994,263580
8/1/1994,263871
9/1/1994,264159
10/1/1994,264430
11/1/1994,264681
12/1/1994,264924
1/1/1995,265157
2/1/1995,265383
3/1/1995,265625
4/1/1995,265877
5/1/1995,266134
6/1/1995,266414
7/1/1995,266700
8/1/1995,266998
9/1/1995,267304
10/1/1995,267585
11/1/1995,267829
12/1/1995,268047
1/1/1996,268258
2/1/1996,268480
3/1/1996,268724
4/1/1996,268980
5/1/1996,269247
6/1/1996,269527
7/1/1996,269822
8/1/1996,270130
9/1/1996,270433
10/1/1996,270730
11/1/1996,271002
12/1/1996,271243
1/1/1997,271472
2/1/1997,271703
3/1/1997,271952
4/1/1997,272213
5/1/1997,272482
6/1/1997,272767
7/1/1997,273074
8/1/1997,273395
9/1/1997,273703
10/1/1997,273989
11/1/1997,274249
12/1/1997,274499
1/1/1998,274732
2/1/1998,274943
3/1/1998,275175
4/1/1998,275434
5/1/1998,275700
6/1/1998,275976
7/1/1998,276266
8/1/1998,276566
9/1/1998,276859
10/1/1998,277140
11/1/1998,277402
12/1/1998,277658
1/1/1999,277891
2/1/1999,278095
3/1/1999,278324
4/1/1999,278584
5/1/1999,278859
6/1/1999,279148
7/1/1999,279448
8/1/1999,279752
9/1/1999,280053
10/1/1999,280337
11/1/1999,280594
12/1/1999,280846
1/1/2000,281083
2/1/2000,281299
3/1/2000,281531
4/1/2000,281763
5/1/2000,281996
6/1/2000,282247
7/1/2000,282504
8/1/2000,282769
9/1/2000,283033
10/1/2000,283285
11/1/2000,283523
12/1/2000,283748
1/1/2001,283960
2/1/2001,284166
3/1/2001,284380
4/1/2001,284602
5/1/2001,284834
6/1/2001,285076
7/1/2001,285324
8/1/2001,285584
9/1/2001,285842
10/1/2001,286086
11/1/2001,286315
12/1/2001,286533
1/1/2002,286739
2/1/2002,286935
3/1/2002,287131
4/1/2002,287343
5/1/2002,287571
6/1/2002,287808
7/1/2002,288051
8/1/2002,288303
9/1/2002,288554
10/1/2002,288794
11/1/2002,289012
12/1/2002,289214
1/1/2003,289412
2/1/2003,289606
3/1/2003,289809
4/1/2003,290024
5/1/2003,290250
6/1/2003,290484
7/1/2003,290726
8/1/2003,290974
9/1/2003,291222
10/1/2003,291463
11/1/2003,291677
12/1/2003,291868
1/1/2004,292046
2/1/2004,292230
3/1/2004,292434
4/1/2004,292651
5/1/2004,292872
6/1/2004,293103
7/1/2004,293350
8/1/2004,293603
9/1/2004,293857
10/1/2004,294104
11/1/2004,294337
12/1/2004,294561
1/1/2005,294768
2/1/2005,294955
3/1/2005,295149
4/1/2005,295359
5/1/2005,295582
6/1/2005,295824
7/1/2005,296077
8/1/2005,296338
9/1/2005,296606
10/1/2005,296857
11/1/2005,297089
12/1/2005,297311
1/1/2006,297526
2/1/2006,297734
3/1/2006,297950
4/1/2006,298170
5/1/2006,298401
6/1/2006,298653
7/1/2006,298910
8/1/2006,299178
9/1/2006,299452
10/1/2006,299710
11/1/2006,299950
12/1/2006,300178
1/1/2007,300398
2/1/2007,300608
3/1/2007,300823
4/1/2007,301045
5/1/2007,301278
6/1/2007,301528
7/1/2007,301790
8/1/2007,302064
9/1/2007,302334
10/1/2007,302590
11/1/2007,302834
12/1/2007,303062
1/1/2008,303280
2/1/2008,303494
3/1/2008,303707
4/1/2008,303926
5/1/2008,304157
6/1/2008,304396
7/1/2008,304646
8/1/2008,304903
9/1/2008,305158
10/1/2008,305403
11/1/2008,305620
12/1/2008,305827
1/1/2009,306035
2/1/2009,306237
3/1/2009,306438
4/1/2009,306645
5/1/2009,306863
6/1/2009,307090
7/1/2009,307322
8/1/2009,307570
9/1/2009,307826
10/1/2009,308071
11/1/2009,308289
12/1/2009,308495
